url_path,views_total,views_unique
/grp-bork/microbial_load_predictor,24,16
/grp-bork/microbial_load_predictor/issues,5,2
/grp-bork/microbial_load_predictor/issues/6,4,2
/grp-bork/microbial_load_predictor/tree/main/R,3,3
/grp-bork/microbial_load_predictor/issues/10,3,2
/grp-bork/microbial_load_predictor/blob/main/R/MLP.R,2,2
/grp-bork/microbial_load_predictor/blob/main/.github/workflows/github-repo-stats.yml,1,1
/grp-bork/microbial_load_predictor/blob/main/README.md,1,1
/grp-bork/microbial_load_predictor/blob/main/example_code.R,1,1
/grp-bork/microbial_load_predictor/blob/main/example_code.r,1,1
