url_path,views_total,views_unique
/grp-bork/microbial_load_predictor,34,14
/grp-bork/microbial_load_predictor/issues,5,2
/grp-bork/microbial_load_predictor/issues/10,4,2
/grp-bork/microbial_load_predictor/blob/main/DESCRIPTION,2,2
/grp-bork/microbial_load_predictor/blob/main/README.md,2,2
/grp-bork/microbial_load_predictor/blob/main/namespace,2,1
/grp-bork/microbial_load_predictor/issues/9,2,1
/grp-bork/microbial_load_predictor/blob/main/R/MLP.R,1,1
/grp-bork/microbial_load_predictor/tree/main,1,1
