time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-04 00:00:00+00:00,2,2,1,1
2026-04-05 00:00:00+00:00,3,3,0,0
2026-04-06 00:00:00+00:00,14,9,0,0
2026-04-07 00:00:00+00:00,16,7,6,4
2026-04-08 00:00:00+00:00,15,6,6,2
2026-04-09 00:00:00+00:00,11,5,6,3
2026-04-10 00:00:00+00:00,1,1,2,1
2026-04-11 00:00:00+00:00,12,7,0,0
2026-04-12 00:00:00+00:00,18,6,3,2
2026-04-13 00:00:00+00:00,30,9,4,1
2026-04-14 00:00:00+00:00,1,1,1,1
2026-04-15 00:00:00+00:00,12,7,16,5
2026-04-16 00:00:00+00:00,16,7,1,1
2026-04-17 00:00:00+00:00,13,7,4,2
