url_path,views_total,views_unique
/grp-bork/microbial_load_predictor,25,21
/grp-bork/microbial_load_predictor/blob/main/R/MLP.R,5,4
/grp-bork/microbial_load_predictor/tree/main/R,5,2
/grp-bork/microbial_load_predictor/blob/main/README.md,3,3
/grp-bork/microbial_load_predictor/issues,3,3
/grp-bork/microbial_load_predictor/tree/main,3,3
/grp-bork/microbial_load_predictor/tree/main/inst/extdata,3,3
/grp-bork/microbial_load_predictor/tree/main/test_data,3,2
/grp-bork/microbial_load_predictor/blob/main/example_code.R,2,2
/grp-bork/microbial_load_predictor/issues/7,2,2
