time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-07 00:00:00+00:00,21,8,0,0
2026-06-08 00:00:00+00:00,1,1,1,1
2026-06-09 00:00:00+00:00,11,7,4,2
2026-06-10 00:00:00+00:00,15,7,0,0
2026-06-11 00:00:00+00:00,16,5,3,2
2026-06-12 00:00:00+00:00,19,10,27,3
2026-06-13 00:00:00+00:00,18,6,0,0
2026-06-14 00:00:00+00:00,31,12,1,1
2026-06-15 00:00:00+00:00,11,5,1,1
2026-06-16 00:00:00+00:00,22,7,0,0
2026-06-17 00:00:00+00:00,9,4,1,1
2026-06-18 00:00:00+00:00,25,5,0,0
2026-06-19 00:00:00+00:00,27,8,1,1
2026-06-20 00:00:00+00:00,39,9,0,0
