url_path,views_total,views_unique
/grp-bork/microbial_load_predictor,20,12
/grp-bork/microbial_load_predictor/issues/7,7,5
/grp-bork/microbial_load_predictor/issues,3,3
/grp-bork/microbial_load_predictor/tree/github-repo-stats,3,2
/grp-bork/microbial_load_predictor/tree/github-repo-stats/grp-bork/microbial_load_predictor,3,2
/grp-bork/microbial_load_predictor/tree/github-repo-stats/grp-bork/microbial_load_predictor/latest-report,3,2
/grp-bork/microbial_load_predictor/tree/main/test_data,3,2
/grp-bork/microbial_load_predictor/actions/workflows/github-repo-stats.yml,3,1
/grp-bork/microbial_load_predictor/blob/main/.github/workflows/github-repo-stats.yml,2,2
/grp-bork/microbial_load_predictor/blob/main/README.md,2,2
