url_path,views_total,views_unique
/grp-bork/microbial_load_predictor,32,13
/grp-bork/microbial_load_predictor/issues/10,4,2
/grp-bork/microbial_load_predictor/blob/main/DESCRIPTION,2,2
/grp-bork/microbial_load_predictor/blob/main/README.md,2,2
/grp-bork/microbial_load_predictor/blob/main/namespace,2,1
/grp-bork/microbial_load_predictor/blob/main/.github/workflows/github-repo-stats.yml,1,1
/grp-bork/microbial_load_predictor/blob/main/R/MLP.R,1,1
/grp-bork/microbial_load_predictor/issues,1,1
/grp-bork/microbial_load_predictor/tree/main,1,1
/grp-bork/microbial_load_predictor/tree/main/.github/workflows,1,1
