url_path,views_total,views_unique
/grp-bork/microbial_load_predictor,17,10
/grp-bork/microbial_load_predictor/issues/7,5,3
/grp-bork/microbial_load_predictor/tree/github-repo-stats,3,2
/grp-bork/microbial_load_predictor/tree/github-repo-stats/grp-bork/microbial_load_predictor,3,2
/grp-bork/microbial_load_predictor/tree/github-repo-stats/grp-bork/microbial_load_predictor/latest-report,3,2
/grp-bork/microbial_load_predictor/actions/workflows/github-repo-stats.yml,3,1
/grp-bork/microbial_load_predictor/issues,2,2
/grp-bork/microbial_load_predictor/actions/new,2,1
/grp-bork/microbial_load_predictor/blob/github-repo-stats/grp-bork/microbial_load_predictor/latest-report/report.html,1,1
/grp-bork/microbial_load_predictor/blob/main/.github/workflows/github-repo-stats.yml,1,1
