time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-30 00:00:00+00:00,30,9,0,0
2026-05-31 00:00:00+00:00,22,9,1,1
2026-06-01 00:00:00+00:00,10,5,1,1
2026-06-02 00:00:00+00:00,16,7,0,0
2026-06-03 00:00:00+00:00,22,9,0,0
2026-06-04 00:00:00+00:00,16,7,0,0
2026-06-05 00:00:00+00:00,15,6,10,2
2026-06-06 00:00:00+00:00,2,2,0,0
2026-06-07 00:00:00+00:00,21,8,0,0
2026-06-08 00:00:00+00:00,1,1,1,1
2026-06-09 00:00:00+00:00,11,7,4,2
2026-06-10 00:00:00+00:00,15,7,0,0
2026-06-11 00:00:00+00:00,16,5,3,2
2026-06-12 00:00:00+00:00,19,10,27,3
