time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-20 00:00:00+00:00,9,4,0,0
2026-04-21 00:00:00+00:00,8,3,2,2
2026-04-22 00:00:00+00:00,33,11,0,0
2026-04-23 00:00:00+00:00,42,11,0,0
2026-04-24 00:00:00+00:00,39,14,6,2
2026-04-25 00:00:00+00:00,73,26,0,0
2026-04-26 00:00:00+00:00,16,5,1,1
2026-04-27 00:00:00+00:00,27,9,0,0
2026-04-28 00:00:00+00:00,11,6,1,1
2026-04-29 00:00:00+00:00,10,6,3,1
2026-04-30 00:00:00+00:00,23,8,2,2
2026-05-01 00:00:00+00:00,32,8,2,2
2026-05-02 00:00:00+00:00,29,8,2,2
2026-05-03 00:00:00+00:00,19,8,0,0
