url_path,views_total,views_unique
/grp-bork/microbial_load_predictor,12,8
/grp-bork/microbial_load_predictor/blob/main/R/MLP.R,7,3
/grp-bork/microbial_load_predictor/tree/main,6,2
/grp-bork/microbial_load_predictor/tree/main/R,6,1
/grp-bork/microbial_load_predictor/tree/main/inst/extdata,4,1
/grp-bork/microbial_load_predictor/tree/main/inst/extdata/metacardis,2,1
/grp-bork/microbial_load_predictor/blob/main/DESCRIPTION,1,1
/grp-bork/microbial_load_predictor/issues,1,1
/grp-bork/microbial_load_predictor/tree/main/inst/extdata/galaxy,1,1
